DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Structure Heuristic,Message Frequency,Decision,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,0,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,1,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,2,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,3,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,4,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,5,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,6,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,7,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,8,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,9,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
Random Uniform 0.2,Imperfect Communication,w/o Timestamp,0.0,50.0,AMDLS_V3_a,Index,low,a,10,NaN,1.0,0.0,NaN,0.0,6.0,NaN,0.0,NaN,0.4,1.0
