DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,1,2059.0,0.0,0.0,0.0,0.0,37.0,391.0,0.0,2059.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,2,1811.0,1.0,1776.5,0.0,0.0,136.0,387.0,381.0,34.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,3,1593.0,1.0,1713.0,0.0,0.0,208.0,338.0,361.0,120.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,4,1495.0,1.0,1557.0,0.0,0.0,281.0,347.0,309.0,62.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,5,1566.0,0.0,1424.5,0.0,0.0,361.0,405.0,295.0,141.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,6,1433.0,1.0,1434.0,0.0,0.0,479.0,318.0,278.0,1.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,7,1385.0,1.0,1419.0,0.0,0.0,550.0,344.0,313.0,34.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,8,1629.0,0.0,1398.5,0.0,0.0,658.0,441.0,313.0,230.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,9,1569.0,1.0,1428.5,0.0,0.0,765.0,421.0,333.0,140.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,10,1399.0,1.0,1370.5,0.0,0.0,820.0,394.0,277.0,28.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,11,1442.0,0.0,1307.5,0.0,0.0,910.0,425.0,301.0,134.5
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,12,1320.0,1.0,1395.0,0.0,0.0,1009.0,328.0,430.0,75.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_ASY,0.7,13,1405.0,0.0,1333.0,0.0,0.0,1090.0,283.0,371.0,72.0
