DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Anytime top agents best context cost,Anytime Cost,Contexts of all agents reported
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,0,170.0,1.0,0.0,170.0,0.0,6.0,134.0,0.0,170.0,null,null,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,1,170.0,1.0,170.0,170.0,0.0,12.0,134.0,134.0,0.0,null,null,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,2,91.0,1.0,67.5,91.0,0.0,18.0,91.0,30.0,23.5,null,null,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,3,91.0,1.0,91.0,91.0,0.0,24.0,91.0,91.0,0.0,170.0,null,1.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,4,33.0,1.0,62.0,33.0,0.0,30.0,33.0,33.0,29.0,170.0,null,1.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,5,33.0,1.0,33.0,33.0,0.0,36.0,33.0,33.0,0.0,91.0,66.0,2.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,6,33.0,1.0,33.0,33.0,0.0,42.0,33.0,33.0,0.0,91.0,91.0,2.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,7,33.0,1.0,33.0,33.0,0.0,48.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,8,33.0,1.0,33.0,33.0,0.0,54.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,9,33.0,1.0,33.0,33.0,0.0,60.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,10,33.0,1.0,33.0,33.0,0.0,66.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,11,33.0,1.0,33.0,33.0,0.0,72.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,12,33.0,1.0,33.0,33.0,0.0,78.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,13,33.0,1.0,33.0,33.0,0.0,84.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,14,33.0,1.0,33.0,33.0,0.0,90.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,15,33.0,1.0,33.0,33.0,0.0,96.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,16,33.0,1.0,33.0,33.0,0.0,102.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,17,33.0,1.0,33.0,33.0,0.0,108.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,18,33.0,1.0,33.0,33.0,0.0,114.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,19,33.0,1.0,33.0,33.0,0.0,120.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,20,33.0,1.0,33.0,33.0,0.0,126.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,21,33.0,1.0,33.0,33.0,0.0,132.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,22,33.0,1.0,33.0,33.0,0.0,138.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,23,33.0,1.0,33.0,33.0,0.0,144.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,24,33.0,1.0,33.0,33.0,0.0,150.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,25,33.0,1.0,33.0,33.0,0.0,156.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,26,33.0,1.0,33.0,33.0,0.0,162.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,27,33.0,1.0,33.0,33.0,0.0,168.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,28,33.0,1.0,33.0,33.0,0.0,174.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,29,33.0,1.0,33.0,33.0,0.0,180.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,30,33.0,1.0,33.0,33.0,0.0,186.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,31,33.0,1.0,33.0,33.0,0.0,192.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,32,33.0,1.0,33.0,33.0,0.0,198.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,33,33.0,1.0,33.0,33.0,0.0,204.0,33.0,33.0,0.0,33.0,33.0,3.0
