DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Anytime top agents best context cost,Anytime Cost,Contexts of all agents reported
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,0,202.0,1.0,0.0,202.0,0.0,8.0,0.0,0.0,202.0,null,null,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,1,202.0,1.0,202.0,202.0,0.0,16.0,0.0,0.0,0.0,null,null,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,2,125.0,1.0,72.0,125.0,0.0,24.0,0.0,0.0,53.0,null,null,1.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,3,125.0,1.0,63.5,125.0,0.0,32.0,0.0,0.0,61.5,178.0,null,3.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,4,125.0,1.0,125.0,125.0,0.0,40.0,0.0,0.0,0.0,60.0,null,6.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,5,60.0,1.0,92.5,60.0,0.0,48.0,0.0,0.0,32.5,60.0,113.0,23.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,6,21.0,1.0,40.5,21.0,0.0,56.0,0.0,0.0,19.5,60.0,60.0,23.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,7,21.0,1.0,21.0,21.0,0.0,64.0,0.0,0.0,0.0,21.0,60.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,8,21.0,1.0,21.0,21.0,0.0,72.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,9,21.0,1.0,21.0,21.0,0.0,80.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,10,21.0,1.0,21.0,21.0,0.0,88.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,11,21.0,1.0,21.0,21.0,0.0,96.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,12,21.0,1.0,21.0,21.0,0.0,104.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,13,21.0,1.0,21.0,21.0,0.0,112.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,14,21.0,1.0,21.0,21.0,0.0,120.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,15,21.0,1.0,21.0,21.0,0.0,128.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,16,21.0,1.0,21.0,21.0,0.0,136.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,17,21.0,1.0,21.0,21.0,0.0,144.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,18,21.0,1.0,21.0,21.0,0.0,152.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,19,21.0,1.0,21.0,21.0,0.0,160.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,20,21.0,1.0,21.0,21.0,0.0,168.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,21,21.0,1.0,21.0,21.0,0.0,176.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,22,21.0,1.0,21.0,21.0,0.0,184.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,23,21.0,1.0,21.0,21.0,0.0,192.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,24,21.0,1.0,21.0,21.0,0.0,200.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,25,21.0,1.0,21.0,21.0,0.0,208.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,26,21.0,1.0,21.0,21.0,0.0,216.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,27,21.0,1.0,21.0,21.0,0.0,224.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,28,21.0,1.0,21.0,21.0,0.0,232.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,29,21.0,1.0,21.0,21.0,0.0,240.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,30,21.0,1.0,21.0,21.0,0.0,248.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,31,21.0,1.0,21.0,21.0,0.0,256.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,32,21.0,1.0,21.0,21.0,0.0,264.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,33,21.0,1.0,21.0,21.0,0.0,272.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,34,21.0,1.0,21.0,21.0,0.0,280.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,35,21.0,1.0,21.0,21.0,0.0,288.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,36,21.0,1.0,21.0,21.0,0.0,296.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,37,21.0,1.0,21.0,21.0,0.0,304.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,38,21.0,1.0,21.0,21.0,0.0,312.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,39,21.0,1.0,21.0,21.0,0.0,320.0,0.0,0.0,0.0,21.0,21.0,89.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,40,21.0,1.0,21.0,21.0,0.0,328.0,0.0,0.0,0.0,21.0,21.0,89.0
