DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,1,77.0,0.0,0.0,0.0,0.0,1.0,77.0,0.0,77.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,2,77.0,1.0,77.0,0.0,0.0,4.0,77.0,77.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,3,72.0,1.0,11.5,0.0,0.0,5.0,72.0,11.0,60.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,4,54.0,1.0,10.0,0.0,0.0,7.0,54.0,12.0,44.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,5,8.0,1.0,31.0,0.0,0.0,10.0,8.0,8.0,23.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,6,8.0,1.0,8.0,0.0,0.0,12.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,7,8.0,1.0,8.0,0.0,0.0,14.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,8,8.0,1.0,8.0,0.0,0.0,15.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,9,8.0,1.0,8.0,0.0,0.0,18.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,10,8.0,1.0,8.0,0.0,0.0,20.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,11,8.0,1.0,8.0,0.0,0.0,22.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,12,8.0,1.0,8.0,0.0,0.0,23.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,13,8.0,1.0,8.0,0.0,0.0,25.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,14,8.0,1.0,8.0,0.0,0.0,27.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,15,8.0,1.0,8.0,0.0,0.0,29.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,16,8.0,1.0,8.0,0.0,0.0,31.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,17,8.0,1.0,8.0,0.0,0.0,33.0,8.0,8.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,18,8.0,1.0,8.0,0.0,0.0,35.0,8.0,8.0,0.0
