DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,1,6731.0,0.0,0.0,0.0,0.0,17.0,214.0,0.0,6731.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,2,5370.0,1.0,5746.5,0.0,0.0,409.0,174.0,214.0,376.5
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,3,4637.0,1.0,4504.0,0.0,0.0,605.0,193.0,122.0,133.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,4,4052.0,1.0,4002.0,0.0,0.0,1011.0,164.0,183.0,50.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,5,3970.0,1.0,3790.0,0.0,0.0,1340.0,106.0,164.0,180.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,6,3830.0,1.0,3660.0,0.0,0.0,1589.0,167.0,106.0,170.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,7,3897.0,0.0,3441.0,0.0,0.0,1760.0,209.0,159.0,456.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,8,3718.0,1.0,3367.0,0.0,0.0,2054.0,186.0,164.0,351.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,9,3741.0,0.0,3251.0,0.0,0.0,2251.0,231.0,164.0,490.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,10,3773.0,0.0,3313.5,0.0,0.0,2602.0,183.0,114.0,459.5
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,11,3661.0,1.0,3445.0,0.0,0.0,2800.0,154.0,183.0,216.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,12,3554.0,1.0,3374.0,0.0,0.0,3285.0,139.0,168.0,180.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,13,3395.0,1.0,3379.0,0.0,0.0,3485.0,139.0,185.0,16.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,14,3395.0,1.0,3413.5,0.0,0.0,3479.0,139.0,185.0,18.5
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,15,3223.0,1.0,3259.0,0.0,0.0,3737.0,139.0,139.0,36.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,16,3093.0,1.0,3158.0,0.0,0.0,3852.0,168.0,139.0,65.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,17,3164.0,0.0,3067.0,0.0,0.0,4228.0,168.0,168.0,97.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,18,3089.0,1.0,3049.0,0.0,0.0,4372.0,168.0,168.0,40.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,19,3050.0,1.0,3069.5,0.0,0.0,4601.0,168.0,168.0,19.5
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,20,3048.0,1.0,3049.0,0.0,0.0,4953.0,127.0,168.0,1.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,21,3039.0,1.0,3037.5,0.0,0.0,5361.0,127.0,127.0,1.5
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,22,3039.0,1.0,3013.0,0.0,0.0,5359.0,127.0,127.0,26.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,23,3039.0,1.0,3039.0,0.0,0.0,5599.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,24,3039.0,1.0,3039.0,0.0,0.0,6130.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,25,3039.0,1.0,3039.0,0.0,0.0,5968.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,26,3039.0,1.0,3039.0,0.0,0.0,6693.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,27,3039.0,1.0,3039.0,0.0,0.0,6655.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,28,3039.0,1.0,3039.0,0.0,0.0,6853.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,29,3039.0,1.0,3039.0,0.0,0.0,7119.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,30,3039.0,1.0,3039.0,0.0,0.0,7414.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,31,3039.0,1.0,3039.0,0.0,0.0,7738.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,32,3039.0,1.0,3039.0,0.0,0.0,8037.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,33,3039.0,1.0,3039.0,0.0,0.0,8308.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,34,3039.0,1.0,3039.0,0.0,0.0,8371.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,35,3039.0,1.0,3039.0,0.0,0.0,8641.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,36,3039.0,1.0,3039.0,0.0,0.0,9007.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,37,3039.0,1.0,3039.0,0.0,0.0,9635.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,38,3039.0,1.0,3039.0,0.0,0.0,9590.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,39,3039.0,1.0,3039.0,0.0,0.0,9792.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,40,3039.0,1.0,3039.0,0.0,0.0,9984.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,41,3039.0,1.0,3039.0,0.0,0.0,10369.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,42,3039.0,1.0,3039.0,0.0,0.0,10946.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,43,3039.0,1.0,3039.0,0.0,0.0,11106.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,44,3039.0,1.0,3039.0,0.0,0.0,11263.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,45,3039.0,1.0,3039.0,0.0,0.0,11524.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,46,3039.0,1.0,3039.0,0.0,0.0,11524.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,47,3039.0,1.0,3039.0,0.0,0.0,11768.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,48,3039.0,1.0,3039.0,0.0,0.0,11948.0,127.0,127.0,0.0
Sparse Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,49,3039.0,1.0,3039.0,0.0,0.0,12160.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,1,6731.0,0.0,0.0,0.0,0.0,143.0,214.0,0.0,6731.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,5.0,DSA_SY,0.7,2,4850.0,1.0,4941.0,0.0,0.0,638.0,193.0,122.0,91.0
