run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
0,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199999,6358.0,1.0,6358.0,0.0,514.0,302960.0,330.0,330.0,0.0,1.0,1.0
1,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199962,6834.0,1.0,6834.0,6834.0,485.0,290475.0,117.0,117.0,0.0,1.0,1.0
2,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199987,6555.0,1.0,6555.0,6555.0,497.0,276607.0,232.0,232.0,0.0,1.0,1.0
3,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199982,6121.0,1.0,6121.0,6121.0,512.0,257782.0,298.0,298.0,0.0,1.0,1.0
4,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199999,5731.0,1.0,5731.0,0.0,675.0,292075.0,252.0,252.0,0.0,1.0,1.0
5,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199988,7259.0,1.0,7259.0,0.0,350.0,305744.0,286.0,286.0,0.0,1.0,1.0
6,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199982,6511.0,1.0,6511.0,0.0,399.0,249133.0,152.0,152.0,0.0,1.0,1.0
7,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199996,6593.0,1.0,6593.0,6561.0,230.0,264947.0,213.0,213.0,0.0,1.0,1.0
8,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199999,7487.0,1.0,7487.0,0.0,500.0,289690.0,286.0,286.0,0.0,1.0,1.0
9,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,199996,6761.0,1.0,6761.0,6731.0,423.0,295876.0,333.0,333.0,0.0,1.0,1.0
0,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,199621,6502.0,1.0,6502.0,6502.0,677.0,313380.0,305.0,305.0,0.0,1.0,1.0
1,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,198911,6830.0,1.0,6830.0,6830.0,595.0,313230.0,97.0,97.0,0.0,1.0,1.0
