DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,0,12176.0,1.0,0.0,0.0,0.0,0.0,460.8,0.0,12176.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,10000,9796.7,1.0,7448.6,4260.1,28.0,16425.6,328.0,260.2,2348.1,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,20000,8819.7,1.0,7109.95,3830.1,53.4,30800.5,384.8,249.9,1709.75,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,30000,7935.0,1.0,6809.85,3559.0,75.8,44712.3,326.9,259.6,1125.15,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,40000,7476.4,1.0,6802.25,3498.7,100.8,60206.7,295.1,286.3,674.15,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,50000,7171.1,1.0,6724.75,3359.4,122.9,73817.2,272.3,269.5,461.55,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,60000,7130.9,1.0,6656.85,3300.4,145.4,88001.1,274.0,245.7,474.05,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,70000,6857.6,1.0,6615.55,3276.7,168.2,102301.3,254.7,243.8,242.05,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,80000,6749.4,1.0,6618.35,3264.5,192.7,116530.7,248.6,243.3,153.05,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,90000,6782.3,1.0,6586.85,3252.0,214.9,130405.0,246.3,243.3,195.45,1.0,1.0
